SiteID,Easting,Northing,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Raw,BiasAdjusted,DistanceCorrected
DT28,618241,165928,60.2,58.9,53.4,52.9,53.0,52.7,53.5,49.8,49.6,53.1,57.7,57.5,54.4,41.3,
DT29,618125,166309,41.4,33.3,30.0,25.3,20.8,21.7,19.3,22.7,20.3,24.2,29.4,30.1,26.5,20.2,
DT31,617217,167155,36.0,43.6,40.7,38.3,29.6,29.3,-,35.5,29.6,38.0,45.3,38.7,36.8,28.0,
DT32,614055,158242,-,53.9,42.3,39.2,33.4,30.8,30.7,33.4,31.9,32.1,46.2,32.6,37.0,28.1,
DT30,618073,167085,36.5,37.5,29.7,31.6,25.6,29.4,25.7,31.8,26.8,35.1,39.1,39.5,32.4,24.6,
DT33,615777,156402,-,-,27.8,-,-,27.4,21.9,26.6,24.6,27.6,35.7,29.6,27.7,23.5,
DT34,614541,158137,46.5,46.3,42.6,54.8,39.3,38.6,31.2,30.6,33.3,38.9,47.2,35.6,40.4,30.7,
DT35,615645,157192,51.3,36.5,46.4,37.3,43.2,40.1,-,42.3,38.5,-,-,42.2,42.0,31.9,
DT36,614522,158240,33.5,42.3,-,43.6,31.9,34.7,28.9,30.4,-,36.9,45.8,35.8,36.4,27.6,
DT37,613621,158073,41.4,40.6,32.9,26.9,24.0,22.5,22.1,27.7,24.3,30.4,36.9,34.8,30.4,23.1,
DT38,613722,156784,34.3,41.2,33.6,34.4,26.5,29.7,25.1,27.4,25.2,31.5,38.8,35.1,31.9,24.2,
DT39,612923,156682,37.9,36.7,27.7,28.1,26.2,25.1,24.4,28.0,25.5,29.2,37.5,32.0,29.9,22.7,
DT40,611070,166555,31.0,33.9,-,24.5,16.4,17.3,-,19.0,15.9,23.2,28.3,26.2,23.6,17.9,
DT41,610696,164570,51.1,50.3,31.3,29.7,33.5,33.1,35.0,41.7,30.0,40.6,45.5,46.8,39.1,29.7,
DT42,613484,166687,35.3,40.8,38.2,33.9,28.8,27.5,27.5,27.3,23.6,25.8,33.1,35.1,31.4,23.9,
DT43,617091,165749,21.9,22.2,13.4,20.9,-,13.8,11.4,15.2,11.3,13.8,20.7,17.3,16.5,12.6,
DT44,615445,157408,54.1,39.0,47.8,45.7,48.0,46.0,-,47.2,45.6,-,50.6,39.6,46.4,35.2,
DT45,615749,158342,23.9,31.5,26.0,22.1,17.0,16.1,15.5,19.2,17.8,21.6,30.1,26.8,22.3,16.9,
DT46,611032,166712,31.9,31.8,26.1,-,15.3,16.7,-,18.4,-,20.7,27.5,28.4,24.1,18.3,
DT47,610665,166785,28.7,35.2,22.5,27.1,19.6,21.0,19.7,23.2,18.7,25.0,27.9,29.3,24.8,18.9,
DT48,610647,166658,34.9,-,25.9,-,29.4,29.9,29.9,-,-,27.5,37.6,31.2,30.8,23.8,
DT49,610670,166252,32.5,34.5,23.6,33.0,24.7,25.0,23.8,22.0,20.9,25.3,34.0,30.0,27.4,20.9,
DT50,616728,161469,29.8,35.4,18.7,25.2,24.6,24.1,23.0,22.3,20.9,25.2,36.3,30.5,26.3,20.0,
DT51,618487,160927,47.3,48.7,43.5,40.2,38.0,37.9,38.2,41.2,37.4,35.9,42.4,42.0,41.1,31.2,
DT52,620633,162100,29.0,41.5,-,22.4,19.2,21.1,24.8,19.9,19.1,21.9,28.5,32.2,25.4,19.3,
DT53,617674,160475,50.8,54.9,47.7,43.5,37.7,42.2,44.8,49.9,42.6,47.6,45.2,51.1,46.5,35.3,
DT54,615152,158288,29.6,-,-,23.4,15.8,-,13.0,11.8,15.3,20.0,26.9,-,19.5,15.2,
DT55,615402,158088,24.6,-,-,23.7,16.2,18.1,14.1,16.7,19.0,22.9,-,-,19.4,16.6,
DT56,615426,158052,31.2,35.4,-,27.0,20.4,21.4,19.7,24.0,23.5,25.5,35.2,32.5,26.9,20.4,
DT57,614927,158813,51.3,44.6,44.3,35.7,30.8,32.5,30.6,34.2,33.8,41.5,49.9,45.7,39.6,30.1,
DT58,614867,158899,-,36.8,35.8,34.8,27.3,28.6,23.0,23.8,24.1,33.9,-,32.4,30.1,22.8,
DT59,617879,167895,27.6,27.5,22.8,23.8,14.6,15.9,13.6,16.0,14.4,15.3,25.5,25.3,20.2,15.3,
DT60,615044,157557,55.0,-,-,46.7,45.0,42.8,39.0,39.9,43.6,44.0,49.9,49.2,45.5,34.6,
